run,implementation,throughput_rps,average_us,p95_us,p99_us,p999_us,max_us
run-01,rust,60000.0,101.0,149.0,171.0,214.0,824.0
run-01,java,60000.0,461.0,155.0,2309.0,65043.0,77023.0
run-02,rust,60000.0,101.0,149.0,169.0,234.0,3948.0
run-02,java,60000.0,752.0,265.0,27037.0,63451.0,72962.0
run-03,rust,60000.0,107.0,149.0,174.0,2680.0,9281.0
run-03,java,60000.0,117.0,152.0,673.0,2447.0,6018.0
run-04,rust,60000.0,101.0,150.0,175.0,249.0,2557.0
run-04,java,60000.0,124.0,151.0,814.0,2744.0,15301.0
run-05,rust,60000.0,109.0,151.0,180.0,2861.0,15142.0
run-05,java,60000.0,121.0,159.0,824.0,2665.0,4217.0
