elapsed_s,timestamp_ms,cpu_percent,rss_mb
0.005,1788410184741,1.8,1.641
0.263,1788410184998,182.9,56.250
0.520,1788410185255,283.9,63.703
0.778,1788410185514,322.9,66.719
1.037,1788410185772,339.7,68.375
1.295,1788410186030,346.3,69.422
1.553,1788410186289,350.7,77.484
1.812,1788410186547,351.2,77.656
2.068,1788410186804,359.1,79.859
2.327,1788410187063,364.5,83.234
2.586,1788410187321,359.5,83.625
2.844,1788410187580,356.3,83.625
3.103,1788410187838,356.6,83.844
3.362,1788410188098,357.5,83.875
3.620,1788410188356,354.3,83.875
3.879,1788410188614,351.7,86.609
4.136,1788410188872,354.0,89.500
4.395,1788410189130,355.1,89.547
4.653,1788410189389,357.1,89.547
4.911,1788410189647,361.8,89.703
5.169,1788410189904,364.0,89.906
5.427,1788410190163,358.9,89.953
5.686,1788410190422,354.5,89.969
5.945,1788410190681,356.1,90.375
6.202,1788410190938,359.2,94.469
6.461,1788410191196,358.7,94.469
6.720,1788410191455,356.0,94.469
6.978,1788410191714,354.7,94.469
7.237,1788410191973,353.4,94.469
7.495,1788410192230,362.6,94.469
7.753,1788410192489,357.7,94.469
8.012,1788410192748,358.0,94.469
8.269,1788410193005,354.5,94.797
8.528,1788410193264,348.9,95.109
8.784,1788410193520,353.1,95.125
9.043,1788410193779,347.1,95.125
9.302,1788410194038,344.2,95.125
9.561,1788410194297,343.0,95.125
9.820,1788410194556,346.5,95.125
10.079,1788410194814,350.0,95.125
10.336,1788410195072,351.5,95.125
10.594,1788410195330,179.4,95.125
10.852,1788410195588,96.0,95.125
11.110,1788410195846,63.0,95.125
11.368,1788410196103,50.8,95.125
11.626,1788410196361,45.7,95.125
11.884,1788410196619,41.9,95.125
12.142,1788410196877,41.7,95.125
12.400,1788410197136,41.6,95.125
12.658,1788410197394,41.6,95.125
12.916,1788410197652,41.7,95.125
13.175,1788410197910,41.6,95.125
13.432,1788410198168,41.7,95.125
13.690,1788410198426,41.6,95.125
13.948,1788410198684,41.6,95.125
14.205,1788410198941,41.6,95.125
14.463,1788410199199,41.8,95.125
14.721,1788410199457,41.7,95.125
14.979,1788410199714,41.7,95.125
15.237,1788410199973,41.6,95.125
15.495,1788410200230,41.9,95.125
15.752,1788410200488,41.6,95.125
16.010,1788410200746,42.1,95.125
16.268,1788410201004,41.9,95.125
16.527,1788410201262,42.2,95.125
16.784,1788410201519,42.0,95.125
17.042,1788410201777,42.2,95.125
17.300,1788410202035,42.0,95.125
17.558,1788410202293,41.7,95.125
17.816,1788410202551,44.6,95.125
18.074,1788410202809,42.8,95.125
18.332,1788410203067,42.2,95.125
18.590,1788410203325,42.0,95.125
18.847,1788410203583,42.0,95.125
19.105,1788410203841,42.1,95.125
19.363,1788410204099,41.7,95.125
19.621,1788410204357,42.4,95.125
19.879,1788410204614,42.2,95.125
20.137,1788410204872,42.3,95.125
20.394,1788410205130,42.9,95.125
20.652,1788410205388,42.2,95.125
20.910,1788410205646,42.2,95.125
21.169,1788410205904,42.3,95.125
21.427,1788410206162,43.4,95.125
21.685,1788410206420,43.0,95.125
21.943,1788410206678,42.8,95.125
22.201,1788410206936,43.5,95.125
22.459,1788410207195,43.7,95.125
22.717,1788410207453,43.3,95.125
22.975,1788410207711,42.9,95.125
23.234,1788410207969,44.7,95.125
23.492,1788410208227,44.3,95.125
23.750,1788410208486,43.6,95.125
24.009,1788410208744,42.6,95.125
24.267,1788410209003,45.8,95.125
24.526,1788410209261,49.3,95.125
24.784,1788410209520,50.2,95.125
25.042,1788410209778,49.0,95.125
25.301,1788410210036,48.0,95.125
25.559,1788410210295,45.1,95.125
25.818,1788410210554,47.2,95.125
26.076,1788410210812,46.5,95.125
26.334,1788410211070,44.7,95.125
26.592,1788410211328,43.8,95.125
26.851,1788410211586,44.0,95.125
27.109,1788410211844,42.7,95.125
27.367,1788410212103,44.8,95.125
