implementation,scope,timestamp_ms,requests,throughput_rps,average_us,p50_us,p95_us,p99_us,p999_us,max_us
java,second-0,1788410282044,60000,60000.00,118,111,153,820,2435,2932
java,second-1,1788410283044,60000,60000.00,117,112,151,817,2511,3230
java,second-2,1788410284044,60000,60000.00,110,111,149,190,2200,2825
java,second-3,1788410285044,60000,60000.00,116,112,150,741,2312,2733
java,second-4,1788410286044,60000,60000.00,116,111,149,726,2410,2893
java,second-5,1788410287044,60000,60000.00,112,110,149,268,2387,2876
java,second-6,1788410288044,60000,60000.00,115,111,149,730,2338,2818
java,second-7,1788410289044,60000,60000.00,111,112,150,215,2212,2558
java,second-8,1788410290044,60000,60000.00,118,113,154,759,2329,2801
java,second-9,1788410291044,60000,60000.00,113,112,151,220,2271,2649
java,second-10,1788410292044,60000,60000.00,119,113,157,839,2449,2989
java,second-11,1788410293044,60000,60000.00,115,111,153,424,2381,2848
java,second-12,1788410294044,60000,60000.00,114,113,152,366,2375,3001
java,second-13,1788410295044,60000,60000.00,116,111,151,722,2305,2737
java,second-14,1788410296044,60000,60000.00,112,112,152,215,2152,2555
java,second-15,1788410297044,60000,60000.00,115,111,151,631,2225,2710
java,second-16,1788410298044,60000,60000.00,117,112,151,731,2397,3202
java,second-17,1788410299044,60000,60000.00,114,113,153,303,2419,2913
java,second-18,1788410300044,60000,60000.00,112,111,150,220,2342,2871
java,second-19,1788410301044,60000,60000.00,120,113,158,896,2423,2854
java,second-20,1788410302044,60000,60000.00,113,112,151,245,2310,2816
java,second-21,1788410303044,60000,60000.00,115,111,149,757,2312,2822
java,second-22,1788410304044,60000,60000.00,110,111,148,186,2138,2646
java,second-23,1788410305044,60000,60000.00,115,111,149,679,2315,2737
java,second-24,1788410306044,60000,60000.00,114,113,154,232,2251,2783
java,second-25,1788410307044,60000,60000.00,119,112,156,829,2433,2987
java,second-26,1788410308044,60000,60000.00,113,112,153,222,2196,2851
java,second-27,1788410309044,60000,60000.00,123,114,159,969,2834,4436
java,second-28,1788410310044,60000,60000.00,175,114,172,2723,5537,6018
java,second-29,1788410311044,60000,60000.00,116,112,153,671,2232,2522
java,overall,1788410282044,1800000,60000.00,117,112,152,673,2447,6018
