implementation,scope,timestamp_ms,requests,throughput_rps,average_us,p50_us,p95_us,p99_us,p999_us,max_us
rust,second-0,1788410238452,60000,60000.00,98,110,146,160,185,268
rust,second-1,1788410239452,60000,60000.00,98,110,146,159,180,229
rust,second-2,1788410240452,60000,60000.00,99,110,147,161,186,245
rust,second-3,1788410241452,60000,60000.00,179,112,153,4906,7072,7563
rust,second-4,1788410242452,60000,60000.00,101,112,150,173,221,317
rust,second-5,1788410243452,60000,60000.00,112,113,154,447,1554,3678
rust,second-6,1788410244452,60000,60000.00,100,111,148,165,195,262
rust,second-7,1788410245452,60000,60000.00,99,110,147,161,183,267
rust,second-8,1788410246452,60000,60000.00,100,111,148,166,200,265
rust,second-9,1788410247452,60000,60000.00,99,110,147,162,185,262
rust,second-10,1788410248452,60000,60000.00,99,111,148,165,201,265
rust,second-11,1788410249452,60000,60000.00,100,111,149,169,209,290
rust,second-12,1788410250452,60000,60000.00,102,113,152,180,220,280
rust,second-13,1788410251452,60000,60000.00,134,112,152,1892,3672,4245
rust,second-14,1788410252452,60000,60000.00,100,110,150,172,204,313
rust,second-15,1788410253452,60000,60000.00,98,109,146,161,184,242
rust,second-16,1788410254452,60000,60000.00,100,110,148,165,191,256
rust,second-17,1788410255452,60000,60000.00,100,111,148,165,197,256
rust,second-18,1788410256452,60000,60000.00,99,110,147,161,185,235
rust,second-19,1788410257452,60000,60000.00,100,111,148,165,199,293
rust,second-20,1788410258452,60000,60000.00,100,110,148,164,192,271
rust,second-21,1788410259452,60000,60000.00,100,111,149,168,207,264
rust,second-22,1788410260452,60000,60000.00,100,111,149,169,205,267
rust,second-23,1788410261452,60000,60000.00,100,111,149,171,209,270
rust,second-24,1788410262452,60000,60000.00,101,111,150,173,210,297
rust,second-25,1788410263452,60000,60000.00,191,112,153,5584,8653,9281
rust,second-26,1788410264452,60000,60000.00,103,112,151,180,762,1027
rust,second-27,1788410265452,60000,60000.00,102,111,156,182,227,318
rust,second-28,1788410266452,60000,60000.00,103,111,156,183,219,265
rust,second-29,1788410267452,60000,60000.00,107,116,165,197,243,608
rust,overall,1788410238452,1800000,60000.00,107,111,149,174,2680,9281
