elapsed_s,timestamp_ms,cpu_percent,rss_mb
0.004,1788410446296,20.4,42.719
0.264,1788410446555,263.1,211.062
0.526,1788410446818,305.3,301.828
0.782,1788410447074,323.2,323.109
1.038,1788410447329,340.1,331.047
1.296,1788410447587,333.9,331.516
1.553,1788410447845,344.1,332.062
1.808,1788410448099,346.9,332.109
2.069,1788410448360,350.0,332.266
2.329,1788410448620,348.1,332.297
2.588,1788410448879,341.1,332.297
2.846,1788410449137,341.7,332.297
3.105,1788410449397,350.3,332.312
3.365,1788410449656,354.9,332.312
3.620,1788410449911,348.4,332.312
3.875,1788410450166,345.3,332.312
4.133,1788410450425,349.6,332.312
4.390,1788410450681,348.0,332.328
4.649,1788410450940,339.7,332.328
4.908,1788410451200,344.8,332.391
5.166,1788410451458,353.2,332.406
5.423,1788410451714,353.3,332.391
5.682,1788410451974,354.3,332.406
5.941,1788410452233,345.6,332.406
6.202,1788410452493,341.9,332.406
6.456,1788410452748,315.9,332.422
6.714,1788410453005,331.5,332.422
6.973,1788410453265,346.7,332.422
7.229,1788410453520,343.9,332.453
7.484,1788410453776,339.9,332.469
7.742,1788410454033,338.2,332.469
8.001,1788410454292,337.6,332.469
8.258,1788410454550,344.9,332.484
8.517,1788410454808,347.1,332.500
8.776,1788410455067,335.9,332.500
9.031,1788410455323,330.0,332.500
9.291,1788410455582,333.9,332.500
9.550,1788410455841,334.4,332.500
9.807,1788410456098,337.1,332.500
10.066,1788410456357,341.8,332.516
10.325,1788410456616,316.4,332.516
10.583,1788410456874,211.1,332.516
10.841,1788410457132,114.5,332.516
11.099,1788410457390,66.4,332.516
11.357,1788410457648,71.2,332.516
11.615,1788410457907,55.0,332.516
11.874,1788410458166,49.6,332.516
12.132,1788410458424,59.2,332.516
12.386,1788410458677,53.5,332.516
12.641,1788410458932,59.2,332.516
12.899,1788410459191,55.7,332.516
13.158,1788410459449,56.2,332.516
13.419,1788410459710,55.0,332.516
13.677,1788410459968,55.3,332.516
13.935,1788410460227,63.5,332.516
14.193,1788410460484,55.6,332.516
14.451,1788410460742,51.3,332.531
14.709,1788410461000,44.5,332.531
14.967,1788410461258,48.4,332.531
15.225,1788410461516,51.3,332.531
15.482,1788410461774,44.4,332.531
15.740,1788410462032,48.2,332.531
15.998,1788410462290,46.4,332.531
16.265,1788410462556,45.4,332.562
16.523,1788410462814,55.4,332.562
16.781,1788410463072,51.4,332.562
17.039,1788410463330,50.6,332.562
17.297,1788410463588,44.4,332.562
17.555,1788410463846,48.8,332.562
17.814,1788410464105,46.4,332.562
18.072,1788410464363,46.2,332.562
